math_reading_score,treatment,BYHMWRK,BYS34B,BYWRTNGA,BYTSTREL,BYMATHSE,BYS35B,BYTEAQUA,BYENGLSE,BYS34A,BYS31G,BYS36B,BYINCOME,BYS31C,BYFATHED,BYS35A,F1SCH_ID,BYA37D,BYA37A,BYA37B,BYA37C
45.46,0,12.0,11.0,-0.24600000000000002,0.174,-0.355,1.0,-0.41700000000000004,-0.852,1.0,1.0,1.0,10,1.0,3.0,1.0,1011.0,1.0,1.0,1.0,1.0
40.36,0,7.0,2.0,0.436,-1.5290000000000001,-0.11599999999999999,1.0,-1.7,0.958,5.0,1.0,1.0,5,2.0,4.0,1.0,1011.0,1.0,1.0,1.0,1.0
33.08,0,3.0,3.0,-4.0,-0.033,-1.1059999999999999,2.0,0.069,-1.383,0.0,1.0,1.0,8,1.0,7.0,0.0,1011.0,1.0,1.0,1.0,1.0
45.95,0,3.0,0.0,0.966,-2.301,-0.63,0.0,-2.372,-0.9329999999999999,3.0,2.0,0.0,4,3.0,2.0,0.0,1011.0,1.0,1.0,1.0,1.0
46.84,0,8.0,6.0,-0.703,-0.38,0.5710000000000001,5.0,-0.41700000000000004,0.14300000000000002,2.0,1.0,0.0,5,1.0,5.0,2.0,1011.0,1.0,1.0,1.0,1.0
39.17,0,10.0,2.0,-0.14300000000000002,-1.213,0.848,0.0,-1.7,-0.183,8.0,1.0,0.0,8,1.0,2.0,1.0,1011.0,1.0,1.0,1.0,1.0
51.96,0,4.0,3.0,0.812,0.282,-9.0,1.0,0.324,-9.0,1.0,2.0,2.0,8,2.0,1.0,1.0,1011.0,1.0,1.0,1.0,1.0
54.72,0,13.0,11.0,0.052000000000000005,-1.716,0.5710000000000001,2.0,-2.14,0.331,2.0,4.0,1.0,9,4.0,4.0,0.0,1011.0,1.0,1.0,1.0,1.0
41.66,0,1.0,1.0,-1.3840000000000001,-1.6869999999999998,-9.0,0.0,-1.893,-0.9329999999999999,0.0,3.0,0.0,3,3.0,1.0,0.0,1011.0,1.0,1.0,1.0,1.0
45.82,0,22.0,2.0,-0.14300000000000002,-9.0,-9.0,1.0,-9.0,-9.0,20.0,3.0,0.0,4,3.0,5.0,10.0,1012.0,1.0,2.0,1.0,2.0
51.43,0,10.0,10.0,-4.0,1.055,-9.0,0.0,1.252,-9.0,0.0,3.0,0.0,3,4.0,2.0,0.0,1012.0,1.0,1.0,3.0,1.0
47.22,0,36.0,20.0,-0.63,0.282,-0.8690000000000001,2.0,0.069,-0.9329999999999999,21.0,3.0,1.0,10,4.0,2.0,4.0,1022.0,1.0,1.0,1.0,2.0
